,name,legislature,iniciative,type,principal,secondary,abstract,status_date1,status1,status_notes1,status date,status,notes,authors,link
10,Por medio del cual se crea un marco legal para una política migratoria integral y de largo plazo. [Política migratoria],Jul 2019 - Jul 2020,Legislativa,Proyecto de Ley,Política Internacional,Administración pública,"La presente ley tiene por objeto establecer el marco legal para la formulación, implementación y mejora continua de una política integral migratoria que propenda por una migración regular, ordenada y segura en el territorio nacional colombiano.",7/20/2019,Radicado - Gaceta: S/N,Sin anotaciones,10/27/2020,Aprobado Segundo Debate - Gaceta: 1547/20,Plenaria Senado,"Edgar Jesús Díaz Contreras, Alfredo Rafael Deluque Zuleta, Neyla Ruiz Correa, Andrés Cristo Bustos, Andrés García Zuccardi",ppor-medio-del-cual-se-crea-un-marco-legal-para-una-politica-migratoria-integral-y-de-largo-plazo-politica-migratoria/9986
11,Por medio del cual se adiciona la Ley 599 del 2000 – Código Penal y se dictan otras disposiciones. [Sanciona el acoso sexual en espacio público],Jul 2020 - Jul 2021,Legislativa,Proyecto de Ley,Justicia,Mujer,La presente ley tiene por objeto sancionar el acoso sexual en espacio público o semipúblico en todo el territorio nacional. El Gobierno Nacional y los entes territoriales implementaran campañas de concientización sobre el acoso sexual en espacio público o semipúblico como un comportamiento manifiesto de violencia contra la mujer en espacios públicos o de acceso público y sobre el contenido de la presente Ley.,9/10/2020,Radicado - Gaceta: S/N,Sin anotaciones,12/3/2020,Retirado por el Autor - Gaceta: S/N,Art 155 Ley 5 de 1992,"Ángela María Robledo Gómez, Karina Estefanía Rojano Palacio, Karen Violette Cure Corcione, Flora Perdomo Andrade, Elizabeth Jaypang Díaz, Harry Giovanny González García, Jezmi Lizeth Barraza Arraut, Martha Patricia Villalba Hodwalker, Mónica Liliana Valencia Montaña, Astrid Sánchez Montes De Oca, Mónica María Raigoza Morales, Sara Elena Piedrahita Lyons, Norma Hurtado Sánchez, Yenica Sugein Acosta Infante, Diela Liliana Benavides Solarte, Luvi Katherine Miranda Peña",ppor-medio-del-cual-se-adiciona-la-ley-599-del-2000--codigo-penal-y-se-dictan-otras-disposiciones-sanciona-el-acoso-sexual-en-espacio-publico/11266
12,"Por medio del cual se reglamenta la metodología para graduar y calcular las multas a imponer por parte de la Superintendencia de Servicios Públicos Domiciliarios; la proporcionalidad y razonabilidad de la sanción por infracciones relacionadas con el servicio de energía eléctrica, acueducto, alcantarillado, aseo y gas y se dictan otras disposiciones. [Reglamenta la metodología para calcular multas de la Superintendencia de Servicios Públicos Domiciliarios]",Jul  2021 - Jul 2022,Legislativa,Proyecto de Ley,Servicios Públicos,Economía,"El presente proyecto buscar sancionar con mayor rigurosidad las empresas de servicios públicos domiciliarios, así como las personas naturales mediante una reforma a las sanciones mínimas que se imponen, con el fin de eliminar abusos arbitrarios en contra de los consumidores.",7/24/2021,Radicado - Gaceta: S/N,Sin anotaciones,6/20/2022,Archivado por Tránsito de Legislatura - Gaceta: S/N,Art 190 Ley 5 de 1992,Sandra Liliana Ortiz Nova,ppor-medio-del-cual-se-reglamenta-la-metodologia-para-graduar-y-calcular-las-multas-a-imponer-por-parte-de-la-superintendencia-de-servicios-publicos-domiciliarios-la-proporcionalidad-y-razonabilidad-de-la-sancion-por-infracciones-relacionadas-con-el-servicio-de-energia-electrica-acueducto-alcantarillado-aseo-y-gas-y-se-dictan-otras-disposiciones-reglamenta-la-metodologia-para-calcular-multas-de-la-superintendencia-de-servicios-publicos-domiciliarios/12034
13,Por medio de la cual se prohíbe la maternidad subrogada con fines de lucro en Colombia y se reglamenta en otros casos. [Prohíbe la maternidad subrogada],Jul 2018 - Jul 2019,Legislativa,Proyecto de Ley,Familia,Seguridad Social y salud,"La presente ley tiene por objeto prohibir la práctica de la maternidad subrogada con fines de lucro, y regularla para parejas colombianas que presenten incapacidad biológica para concebir. Esto, mediante la protección de los derechos a la dignidad, intimidad, igualdad, autonomía, y la protección del que está por nacer.",8/1/2018,Radicado - Gaceta: S/N,Sin anotaciones,6/20/2019,Archivado por Tránsito de Legislatura - Gaceta: S/N,Art 190 Ley 5 de 1992,"María Del Rosario Guerra De La Espriella, Santiago Valencia González",ppor-medio-de-la-cual-se-prohibe-la-maternidad-subrogada-con-fines-de-lucro-en-colombia-y-se-reglamenta-en-otros-casos-prohibe-la-maternidad-subrogada/9475
14,Por medio de la cual se adoptan medidas en materia de regulación de precios de los combustibles líquidos y se dictan otras disposiciones. [Precio gasolina],Jul 2019 - Jul 2020,Legislativa,Proyecto de Ley,Minas y energía,Economía,"El presente proyecto busca la verificación y revisión de la aplicación y composición de la metodología de cálculo del valor del ingreso al productor de los combustibles líquidos, así como las tarifas y márgenes asociados a la remuneración de toda la cadena de transporte, logística, comercialización y distribución de dichos combustibles que hacen parte del mercado regulado y el mecanismo de estabilización de los precios de referencia de venta al público de los combustibles regulados, con el fin de establecer política clara y transparente a la estructura del precio de los combustibles.",7/20/2019,Radicado - Gaceta: S/N,Sin anotaciones,6/20/2020,Archivado por Tránsito de Legislatura - Gaceta: S/N,Art 190 Ley 5 de 1992,"Bérner León Zambrano Eraso, Soledad Tamayo Tamayo, Guillermo García Realpe, Daira De Jesús Galvis Méndez, Richard Alfonso Aguilar Villa, Amanda Rocío González Rodríguez, Alejandro Corrales Escobar, John Milton Rodríguez González, Eduardo Emilio Pacheco Cuello, Pablo Catatumbo Torres Victoria, Victoria Sandino Simanca Herrera, Sandra Ramírez Lobo Silva, Aída Yolanda Avella Esquivel, Jorge Enrique Robledo Castillo, Jesús Alberto Castilla Salazar, Antonio Eresmid Sanguino Páez, José Aulo Polo Narváez, Luis Iván Marulanda Gómez, Jorge Eduardo Londoño Ulloa, César Augusto Ortiz Zorro, Sandra Liliana Ortiz Nova",ppor-medio-de-la-cual-se-adoptan-medidas-en-materia-de-regulacion-de-precios-de-los-combustibles-liquidos-y-se-dictan-otras-disposiciones-precio-gasolina/9987
15,Por medio de la cual se establece la modalidad de trabajo alternativo virtual y se dictan otras disposiciones. [Establece el trabajo alternativo virtual],Jul 2020 - Jul 2021,Legislativa,Proyecto de Ley,Laboral,"Comunicaciones, medios y tecnologías de la información","La presente ley tiene por objeto promover la modalidad del trabajo virtual, como un mecanismo alternativo para que el trabajador desarrolle sus funciones o labores, mediante el uso de tecnologías, sin que se modifiquen las condiciones de trabajo inicialmente pactadas.",8/11/2020,Radicado - Gaceta: S/N,Sin anotaciones,11/27/2020,Publicada Ponencia Segundo Debate - Gaceta: 1390/20,Segundo debate,"Manuel Antonio Virgüez Piraquive, Aydeé Lizarazo Cubillos, Irma Luz Herrera Rodríguez, Carlos Eduardo Guevara Villabón",ppor-medio-de-la-cual-se-establece-la-modalidad-de-trabajo-alternativo-virtual-y-se-dictan-otras-disposiciones-establece-el-trabajo-alternativo-virtual/11011
16,"Por medio de la cual se establecen medidas de apoyo y orientación integral a la mujer durante el embarazo y puerperio, para prevenir el abandono de menores y se dictan otras disposiciones” - Ley de Refugios Seguros. [Apoyo a la mujer en embarazo]",Jul 2020 - Jul 2021,Legislativa,Proyecto de Ley,Mujer,Seguridad Social y salud,"La presente ley tiene por objeto mejorar y ampliar las medidas de apoyo, orientación psicosocial y jurídica a la mujer en etapa de embarazo y puerperio, con el fin de que la mujer en condición vulnerable reciba el mayor apoyo posible y se prevenga el abandono de menores de hasta cinco (5) meses de nacidos. Atención que se reforzará a través de las líneas únicas nacionales.",9/10/2020,Radicado - Gaceta: S/N,Sin anotaciones,10/19/2020,Concepto Institucional - Gaceta: 1134/20,Ministerio de Hacienda y Crédito Público,"Esperanza Andrade Serrano, Ángela Patricia Sánchez Leal, Emma Claudia Castellanos",ppor-medio-de-la-cual-se-establecen-medidas-de-apoyo-y-orientacion-integral-a-la-mujer-durante-el-embarazo-y-puerperio-para-prevenir-el-abandono-de-menores-y-se-dictan-otras-disposiciones--ley-de-refugios-seguros-apoyo-a-la-mujer-en-embarazo/11267
17,"Por medio de la cual se crea la óptima acreditación de calidad en salud, se crean entidades de apoyo a la salud y se dictan otras disposiciones. [Acreditación de calidad en salud]",Jul  2021 - Jul 2022,Legislativa,Proyecto de Ley,Seguridad Social y salud,Administración pública,"La presente ley tiene por objeto crear la Optima Acreditación de Calidad en Salud de las Entidades Promotoras de Salud (EPS) y crear las Entidades de Apoyo a la Salud (EAS) para que se diferencien por el cumplimiento de los requisitos que establezca el Ministerio de Salud, con el fin de promover la calidad y buenas prácticas en la prestación del servicio de salud y transparencia en el manejo de los recursos.",8/2/2021,Radicado - Gaceta: S/N,Sin anotaciones,11/24/2021,Publicada Ponencia Primer Debate - Gaceta: 1692/21,Primer debate,,ppor-medio-de-la-cual-se-crea-la-optima-acreditacion-de-calidad-en-salud-se-crean-entidades-de-apoyo-a-la-salud-y-se-dictan-otras-disposiciones-acreditacion-de-calidad-en-salud/11523
18,"Por medio del cual se aprueban el Protocolo relativo a una enmienda del Convenio sobre aviación civil internacional (artículo 50a), y el Protocolo relativo a una enmienda del Convenio sobre Aviación Civil Internacional (artículo 56), firmados en Montreal, Canadá, el 6 de octubre de 26 de 2016. [Enmiendas a los protocolos sobre Aviación Civil Internacional]",Jul 2020 - Jul 2021,Gubernamental,Proyecto de Ley,Política Internacional,Tránsito y transporte,La principal razón que justifica la necesidad y conveniencia de aprobar los Protocolos de enmienda de la Convención surge del constante aumento del número de Estados Miembros de la OACI y de la expansión y aumento de la importancia del transporte aéreo internacional para las economías nacionales de muchos Estados.,4/29/2021,Radicado - Gaceta: S/N,Sin anotaciones,6/25/2021,Publicada Ponencia Segundo Debate - Gaceta: 732/21,Segundo debate,"Ministra de Transporte. ángela María Orozco Gómez , Ministra de Relaciones Exteriores. Claudia Blum ",ppor-medio-del-cual-se-aprueban-el-protocolo-relativo-a-una-enmienda-del-convenio-sobre-aviacion-civil-internacional-articulo-50a-y-el-protocolo-relativo-a-una-enmienda-del-convenio-sobre-aviacion-civil-internacional-articulo-56-firmados-en-montreal-canada-el-6-de-octubre-de-26-de-2016-enmiendas-a-los-protocolos-sobre-aviacion-civil-internacional/11779
19,"Por medio del cual se prohíbe en el territorio nacional la exploración y/o explotación de los yacimientos no convencionales (YNC) de hidrocarburos y se dictan otras disposiciones. [Prohíbe la explotación de yacimientos no convencionales, YNC, fraking]",Jul 2018 - Jul 2019,Legislativa,Proyecto de Ley,Minas y energía,Medio Ambiente,"Prohíbase en el territorio nacional la exploración y explotación de los Yacimientos No Convencionales (YNC) de hidrocarburos como medida de protección del medio ambiente y la salud, y para prevenir conflictos socioambientales asociados a estas actividades.",8/1/2018,Radicado - Gaceta: S/N,Sin anotaciones,6/20/2019,Archivado por Tránsito de Legislatura - Gaceta: S/N,Art 190 Ley 5 de 1992,"Pedro Leonidas Gómez Gómez, Pablo Catatumbo Torres Victoria, Wilmer Leal Pérez, León Fredy Muñoz Lopera, Julián Gallo Cubillos, Sandra Liliana Ortiz Nova, César Augusto Pachón Achury, María José Pizarro Rodríguez, Didier Lobo Chinchilla, Jorge Eduardo Londoño Ulloa, Victoria Sandino Simanca Herrera, Roy Leonardo Barreras Montealegre, Jorge Enrique Robledo Castillo, Luciano Grisales Londoño, Gustavo Bolívar Moreno, Edwing Fabián Díaz Plata, Alexánder López Maya, César Augusto Ortiz Zorro, David Ricardo Racero Mayorca, Antonio Eresmid Sanguino Páez, Guillermo García Realpe, Aída Yolanda Avella Esquivel, Jesús Alberto Castilla Salazar, Luis Iván Marulanda Gómez, Gustavo Francisco Petro Urrego, Juan Luis Castro Córdoba, Luvi Katherine Miranda Peña, Feliciano Valencia Medina, John Jairo Cárdenas Morán, Harry Giovanny González García, Juan Carlos Lozada Vargas, Iván Cepeda Castro, Angélica Lozano Correa",ppor-medio-del-cual-se-prohibe-en-el-territorio-nacional-la-exploracion-yo-explotacion-de-los-yacimientos-no-convencionales-ync-de-hidrocarburos-y-se-dictan-otras-disposiciones-prohibe-la-explotacion-de-yacimientos-no-convencionales-ync-fraking/9476
20,Por medio de la cual se modifica la Ley 1014 de 2006 y se dictan otras disposiciones.[Emprendimiento],Jul 2019 - Jul 2020,Legislativa,Proyecto de Ley,"Comercio, industria y turismo",Administración pública,"El presente proyecto tiene por objeto modificar la Ley 1014 del 2006 ""De fomento a la cultura del emprendimiento"", con el fin de realizar reajustes constitucionales para el fortalecimiento del emprendimiento en Colombia. [Cultura del emprendimiento]",7/20/2019,Radicado - Gaceta: S/N,Sin anotaciones,8/25/2020,Publicada Ponencia Segundo Debate - Gaceta: 771/20,Segundo debate,"Alejandro Corrales Escobar, Amanda Rocío González Rodríguez, Bérner León Zambrano Eraso, John Milton Rodríguez González, Eduardo Emilio Pacheco Cuello, Soledad Tamayo Tamayo, Guillermo García Realpe, Daira De Jesús Galvis Méndez, Richard Alfonso Aguilar Villa, Aída Yolanda Avella Esquivel, Jorge Enrique Robledo Castillo, Israel Alberto Zúñiga Iriarte, Sandra Ramírez Lobo Silva, Antonio Eresmid Sanguino Páez, José Aulo Polo Narváez, Luis Iván Marulanda Gómez, Jorge Eduardo Londoño Ulloa, César Augusto Ortiz Zorro, Sandra Liliana Ortiz Nova",ppor-medio-de-la-cual-se-modifica-la-ley-1014-de-2006-y-se-dictan-otras-disposicionesemprendimiento/9988
21,"Por la cual se reglamenta el ejercicio de la alergología clínica, sus procedimientos y se dictan otras disposiciones, [Reglamenta la alergología clínica]",Jul 2019 - Jul 2020,Legislativa,Proyecto de Ley,Profesiones,Seguridad Social y salud,"Una normatividad clara en el hacer de los programas en Alergología Clínica (Alergología) genera una mejor atención y un compromiso social, tanto del estado como de los profesionales en salud, para la mejor atención del paciente con enfermedad alérgica.",11/28/2019,Radicado - Gaceta: S/N,Sin anotaciones,6/10/2020,Retirado por el Autor - Gaceta: S/N,Art 155 Ley 5 de 1992,Gabriel Jaime Velasco Ocampo,ppor-la-cual-se-reglamenta-el-ejercicio-de-la-alergologia-clinica-sus-procedimientos-y-se-dictan-otras-disposiciones-reglamenta-la-alergologia-clinica/10500
22,Por medio de la cual se reforma la Ley 115 de 1994 en lo pertinente con educación inicial y se dictan otras disposiciones. [Educación inicial],Jul  2021 - Jul 2022,Legislativa,Proyecto de Ley,"Educación, cultura, ciencia y tecnología",Familia,La presente Ley tiene por objeto incluir la educación inicial como parte de la educación formal del sistema educativo colombiano.,8/6/2021,Radicado - Gaceta: S/N,Sin anotaciones,6/20/2022,Archivado por Tránsito de Legislatura - Gaceta: S/N,Art 190 Ley 5 de 1992,"Iván Darío Agudelo Zapata, Carlos Felipe Mejía Mejía, María Del Rosario Guerra De La Espriella, Ruby Helena Chagüí Spath, Julián Bedoya Pulgarín, Emeterio José Montes Castro, Soledad Tamayo Tamayo, Enrique Cabrales Baquero, Milton Hugo Angulo Viveros, John Milton Rodríguez González, Diego Javier Osorio Jiménez, Johny John Moisés Besaile Fayad, John Harold Suárez Vargas, Antonio Luis Toño Zabaraín Guevara, Ana María Castañeda Gómez, Amanda Rocío González Rodríguez",ppor-medio-de-la-cual-se-reforma-la-ley-115-de-1994-en-lo-pertinente-con-educacion-inicial-y-se-dictan-otras-disposiciones-educacion-inicial/11780
23,Por medio de la cual se crean medidas para la protección y seguridad de los ciclistas en el país y se dictan otras disposiciones. [Protección y seguridad de los ciclistas],Jul  2021 - Jul 2022,Legislativa,Proyecto de Ley,Tránsito y transporte,Bienestar y pobreza,"Crear medidas que generen la protección y seguridad de los biciusuarios, que permitan el uso seguro de la bicicleta en el territorio nacional y que contrarresten el hurto de bicicletas, la comercialización ilegal de estas y de sus partes.",8/18/2021,Radicado - Gaceta: S/N,Sin anotaciones,6/20/2022,Archivado por Tránsito de Legislatura - Gaceta: S/N,Art 190 Ley 5 de 1992,"Carlos Eduardo Guevara Villabón, Ana Paola Agudelo García, Aydeé Lizarazo Cubillos, Irma Luz Herrera Rodríguez",ppor-medio-de-la-cual-se-crean-medidas-para-la-proteccion-y-seguridad-de-los-ciclistas-en-el-pais-y-se-dictan-otras-disposiciones-proteccion-y-seguridad-de-los-ciclistas/12036
24,Por medio de la cual se reforman procedimientos electorales y se dictan otras disposiciones. [Reforma electoral],Jul 2018 - Jul 2019,Legislativa,Proyecto de ley Estatutaria,Partidos y movimientos,Organización Electoral y elecciones,El objeto de la presente ley es garantizar el debido proceso electoral; y en particular asegurar la transparencia y acceso a la información correspondiente a las votaciones y a los escrutinios; la armonización de procedimientos de escrutinios con la Constitución Política vigente; la tecnificación progresiva y a cargo del Estado de los procedimientos electorales; la adopción de la carrera electoral y el estímulo a quienes contribuyan al desarrollo de las actuaciones electorales; y la lucha contra la corrupción electoral.,8/1/2018,Radicado - Gaceta: S/N,Sin anotaciones,10/2/2018,Retirado por el Autor - Gaceta: S/N,Art 155 Ley 5 de 1992,"Irma Luz Herrera Rodríguez, Carlos Eduardo Guevara Villabón, Aydeé Lizarazo Cubillos, Ana Paola Agudelo García, José Daniel López Jiménez",ppor-medio-de-la-cual-se-reforman-procedimientos-electorales-y-se-dictan-otras-disposiciones-reforma-electoral/9477
25,"Por medio de la cual se aprueba el «Protocolo Adicional del Acuerdo Comercial entre Colombia y el Perú, por una parte, y la Unión Europea y sus estados miembros por otra, para tener en cuenta la adhesión de la República de Croacia a la Unión Europea», suscrito en Bruselas, Reino de Bélgica, el 30 de junio de 2015”. [Aprueba el Protocolo Adicional del Acuerdo Comercial entre Colombia y el Perú, por una parte, y la Unión Europea]",Jul 2019 - Jul 2020,Gubernamental,Proyecto de Ley,Política Internacional,"Comercio, industria y turismo","Busca permitir que, con ocasión de la adhesión de nuevos Estados a la Unión Europea y, en tal virtud, al volverse dichos Estados una Parte más del Acuerdo, dicha adhesión sea conocida por los Países Andinos Signatarios del Acuerdo y que se examinen los efectos sobre el Acuerdo de tal adhesión.",11/28/2019,Radicado - Gaceta: S/N,Sin anotaciones,12/18/2019,Retirado por el Autor - Gaceta: S/N,Art 155 Ley 5 de 1992,"José Manuel Restrepo Abondano, Ministro de Relaciones Exteriores. Carlos Holmes Trujillo ",ppor-medio-de-la-cual-se-aprueba-el-protocolo-adicional-del-acuerdo-comercial-entre-colombia-y-el-peru-por-una-parte-y-la-union-europea-y-sus-estados-miembros-por-otra-para-tener-en-cuenta-la-adhesion-de-la-republica-de-croacia-a-la-union-europea-suscrito-en-bruselas-reino-de-belgica-el-30-de-junio-de-2015-aprueba-el-protocolo-adicional-del-acuerdo-comercial-entre-colombia-y-el-peru-por-una-parte-y-la-union-europea/10501
