species,requests
pygochelidon cyanoleuca,1
microryzomys sp,1
mecocerculus leucophris,1
ptychoglossus bicolor,1
megaceryle torquata,1
anolis fuscoauratus,1
metallura tyrianthina,1
microcerculus marginatus,1
myotis cf. riparius,1
nasua nasua,1
marisora falconensis,1
pristimantis bogotensis,1
patagioenas fasciata,1
penelope montagnii,1
phalacrocorax brasilianus,1
pheugopedius mystacalis,1
pristimantis sp.,1
pristimantis permixtus,1
potos flavus,1
pachysylvia semibrunnea,1
porphyrio martinica,1
pholidobolus vertebralis,1
polychrus gutturosus,1
phrygilus unicolor,1
poecilotriccus sylvia,1
piranga rubra,1
pandion haliaetus,1
pachyramphus rufus,1
nasuella olivacea,1
nyctidromus albicollis,1
nephelomys childi,1
nephelomys sp,1
nyctibius griseus,1
nycticorax nycticorax,1
pristimantis uisae,1
pristimantis thectopternus,1
nymphargus grandisonae,1
pachyramphus polychopterus,1
pristimantis sp. 2,1
pristimantis sp. 1,1
ochthoeca rufipectoralis,1
ocreatus underwoodii,1
orochelidon murina,1
oxybelis aeneus,1
sciurus granantensis,1
scytalopus atratus,1
fluvicola pica,1
tangara gyrola,1
haplophaedia aureliae,1
hemispingus frontalis,1
hemithraupis guira,1
tangara labradorides,1
henicorhina leucophrys,1
henicorhina leucosticta,1
tangara cyanocephala,1
gralaria ruficapila,1
tamandua mexicana,1
synallaxis unirufa,1
synallaxis subpudica,1
synallaxis albescens,1
sylvilagus sp,1
sylvilagus apollinaris,1
grallaria milleri,1
glaucis hirsutus,1
sturnira cf. bogotensis,1
tapera naevia,1
formicivora grisea,1
fulica americana,1
thlypopsis superciliaris,1
thamnophilus multistriatus,1
tetriocinchus bifasciatus,1
gallinula galeata,1
gampsonyx swainsonii,1
geranospiza caerulescens,1
tangara xanthocephala,1
gardnerycteris crenulatum,1
tangara vassorii,1
platyrrhinus dorsalis,1
geranoaetus melanoleucus,1
geranoetus polyosoma,1
sturnira cf. ludovici,1
sturnira bidens,1
malacoptila mystacalis,1
lepidocolaptes souleyetii,1
islerothraupis luctuosa,1
jacana jacana,1
lepidobepharis duolepis,1
lepidoblepharis sp,1
sicalis luteola,1
lepidocolaptes lacrymger,1
leptodactylus cf. savagei,1
imantodes cenchoa,1
leptopogon superciliaris,1
lesbia nuna,1
leucostethus fraterdanieli,1
lithobates catesbeianus,1
scytalopus canus,1
lonchura malacca,1
silvilagus brasiliensis,1
icterus nigrogularis,1
sturnella militaris,1
sporophila intermedia,1
sturnella magna,1
stilpnia vitriolina,1
stilpnia heinei,1
stilpnia cyanicollis,1
stenorrhina degenhardtii,1
steatornis caripensis,1
sporophila funerea,1
hylophilus flavipes,1
sporophila crassirostris,1
spinus xanthogastrus,1
herpetotheres cachinnans,1
histiotus montanus,1
hydrochoerus isthmius,1
hydropsalis longirostris,1
anolis heterodermus,1
panthiades bitias,1
anolis antonii,1
chlorostilbon gibsoni,1
neodryta,1
mecocerculus poecilocercus,1
metallura williami,1
anabacerthia striaticollis,1
machetornis rixosa,1
systellura longirostris,1
amazilia franciae,1
elaenia parvirostris,1
melanomys caliginosus,1
geothlypis philadelphia,1
margarornis squamiger,1
myiarchus tuberculifer,1
scytalopus unicolor,1
setophaga petechia,1
anoura cultrata,1
eptesicus brasiliensis,1
clivina,1
athrostictus,1
phoebis sennae marcellina,1
pyrisitia venusta,1
temenis laothoe,1
pyrgus orcus,1
anaulacus,1
aspidoglossa,1
clivini,1
paratachys,1
stolinis,1
altinote neleus,1
brachygastra sp,1
melanis electron,1
callicore pitheas,1
hypanthidium magdalenae,1
melitoma segmentaria,1
augoclorella sp,1
hamadryas amphinome,1
lonchophylla robusta,1
mesophylla macconnelli,1
centris sp1,1
anoura sp.,1
cercosaura argula,1
anartia jatrophae,1
anartia amathea,1
macroinvertebrado acuaticos,1
carabidae,1
galerita,1
polistes sp,1
micronycteris sp,1
saccopteryx bilineata,1
myiothlypis luteoviridis,1
setophaga fusca,1
doryfera ludovicae,1
vireo olivaceus,1
lophotriccus pileatus,1
pheugopedius fasciatoventris,1
thalurania colombica,1
synophis lasallei,1
drymarchon corais,1
gastrotheca nicefori,1
scinax rostratus,1
micronycteris sp.,1
sigmodon hispidus,1
cercomacra nigricans,1
oligoryzomys sp.,1
hoplias malabaricus,1
imparfinis nemacheir,1
megaleporinus muyscorum,1
roeboides dayi,1
synbranchus marmoratus,1
trichomycterus sp.,1
stenolopus,1
anolis frenatus,1
dendropsophus bokermanni,1
leptodactylus colombiensis,1
leptodactylus sp,1
eurema elathea,1
tetragonisca angustula,1
chalybura buffoni,1
dynamine agacles core,1
frieseomelitta sp,1
tetragonisca sp,1
nannotrigona sp,1
oxytrigona sp,1
melipona favosa,1
eufriesea sp,1
heliconius herato,1
tithorea harmonia furina,1
calycopis isobeon,1
notheme erota diadema,1
melete lycimnia,1
pyrisitia sp,1
junonia evarete,1
euptoeieta hegesia,1
staphylus sp,1
hamadryas feronia,1
scaptotrigona barrocoloradensis,1
hemipepsis sp,1
exaerete smaradigna,1
pepsis grossa,1
altinote dicaeus,1
catasticta tomyris tomyris,1
corades medeba columbina,1
eretris porphyria,1
hesperi sp.,1
noctuana haematospila,1
perisama blomplandii,1
pronophila epidipnis orchewitsoni,1
theritas monica,1
urbanus teleus,1
urbanus viterboana,1
paratrigona sp,1
bombus sp,1
agapostemon sp,1
temnosoma sp,1
thereus ortalus,1
hemiargus hanno,1
plebeia sp,1
polistes carnifex,1
pedaliodes peucesta peucesta,1
trigona fulviventris,1
halictus sp,1
cephalotrigona zexmeniae,1
exaerete sp,1
geotrigona sp,1
caenaugochlora sp,1
ancyloscelis sp1,1
myscelus amystis,1
dynamine postverta,1
ascia monuste,1
danaus gilippus,1
nica flavilla,1
hesperiidae sp,1
cryptobatis,1
polybia sp,1
lymanopoda albocinta albocinta,1
altinote stratonice,1
trichopselapus,1
stenomorphus,1
pseudolycaena marsyas,1
rekoa meton,1
strymon istapa,1
zaretis ellops,1
panthiades phaleros,1
lycorea halia,1
pyrrhogyra neaerea,1
itaballia demophile,1
phoebis argante larra,1
eurema daira lydia,1
camptodontus,1
loxandrini,1
notiobia,1
pelecidium,1
pelecium,1
neacomys tenuipes,1
phaethornis anthophilus,1
anisognathus somptuosus,1
insectos,1
"trichoptera, lepidóptera y díptera",1
especies de ecositemas rocosos intermareales y submareales,1
"tractus crassicaudatus, anadia bogotensis, stenocercus trachycephalus y pierna strmta.",1
"peces, perifiton, macroinvertebrado",1
"anfibios, reptiles, aves, mamiferos",1
hydrometridae,1
"brycon oligolepis-rhamdia quelen
ciclassoma omatum",1
"aves, herpetos, mamiferos, peces, fito zooplancton, bentos, perifiton, macrofitas, muestreo vegetal",1
manipulación de especímenes de 32 especies de anolis,1
colecta de fragmentos de pocillopora,1
se colectaran 2 nidos y 15 cascaras por especie,1
monitoreo de ictiofauna,1
colostethus alacris,1
04 especímenes por morfoespecie de insectos,1
40 especímenes por especie por área protegida,1
"colecta de insectos adultos, obtención de extendidos sanguíneos de aves, colecta de especímenes de turdus fuscater",1
polillas,1
p. hermes y d. guildingii ,1
"trichoptera, dípteros no hematófagos y lepidópteros microlepidoptera y pyraloidea",1
odonatos,1
tachyphonus luctuosus,1
melanospiza bicolor,1
actinote anteas,1
sturnira lilium,1
myotis nigricans,1
holcosus ameiva,1
basiliscus basiliscus,1
dendropsophus microcephalus,1
hypsiboas crepitans,1
trachycephalus typhonius,1
mamíferos,1
mamíferos e invertebrado,1
"carcharhinidae, balenopteridae, cheloniidae, peces de columna de agua",1
"p. damicornis, p. capitata y p. eydouxi",1
"perifiton, aves, mamiferos, anfibios, reptiles",1
manipulación de murciélagos capturados en redes de niebla. captura de 15 individuos de saccopteryx aff.,1
muestras de piel de ballena jorobada,1
bentos,1
akodon afinnis,1
protonotaria citrea-parkesia novaboracensis,1
"muestras de perifitón, fitoplancton, algas sedimento, zooplancton, macroinnvertebrado, macrofitas acuáticas",1
"leptodeira sp-caiman crocodilus
gonatodes sp
coereba flaveola
thraupidae
cyanerpes cyanea
thamnophilus punctatus
thamnophilidae
trochilidae sp
phaethornis yaruqui
atta sp
bradypus variegatus",1
muestra de tejido bucal de oophaga lehmanni,1
accipiter striatus,1
actitis macularius,1
aglaiocercus kingii,1
amazilia saucerottei,1
"muestreo vegetal y de abejas meliponini
euglossini
bombini",1
amazona mercenarius,1
amblycercus holosericeus,1
ameiva ameiva,1
ampelion rubrocristatus,1
anadia cf. ocellata,1
andigena hypoglauca,1
anisognathus igniventris,1
muestreo vegetal-muestreo de suelos,1
muestreo vegetal-artropodos,1
" psocidia- lachesillidae
 ptiloneuridae
epipsocidae
 cladipsocidae
 dolabellospsocidae",1
"orbicella faveolata-siderastrea siderea
varias especies de coral 9 muestras por especie",1
"peces
bentos 
perifiton
zooplacton y fitoplancton
aves 
mamiferos terrestres
anfibios
reptiles",1
rhinoclemmys nasuta,1
"haemulopsis leuciscu, haemulopsis axillaris, pomadasys macracantu, pomadasys panamensis, haemulon maculicauda, haemulon tlaviguttatum, anisotremus taeniatus y anisotremus interruptus",1
echinometra lucunter lucunter ,1
anolis,1
quiropteros,1
"trichomycterus gorgona,
characidae sp., synbranchus marmoratus, gobiomorus maculatus, hemieleotris latifasciata, sicydium
hildebrandi, agonostomus monticola y gobiesox sp",1
vertemidos,1
oophaga lehmanni,1
"poriferos 
macroalgas ",1
"muestra visceral-scomberomorus sierra
lutjanus guttatus
caranx caninus",1
muestreo vegetal,1
epipedobates boulengeri,1
"atelopus elegans 
holcosus bridgesii
epipedobates boulengeri
silverstoneia sp
pristimantis sp
ptychoglossus sp
sphaerodactylus sp
bolitoglossa sp",1
"muestreo vegetal 
apidae
diptera",1
creagrutus affinis,1
andinobates dorisswansonae,1
cetopsorhamdia nasus,1
platyrrhinus lineatus,1
cynodonichthys magdalenae,1
enceladus gigas,1
boana boans,1
colostethus aff. fraterdanieli,1
colostethus fraterdanieli,1
osornophryne percrassa,1
pristimantis taeniatus,1
pristimantis sp2,1
anolis huilae,1
gephyrocharax melanocheir,1
hypostomus hondae,1
pimelodus blochii,1
rhamdia guatemalensis,1
sturisomatichthys leightoni,1
tetracha cribata,1
uroderma convexum,1
astyanax magdalenae,1
rattus norvegicus,1
anoura,1
myotis riparius,1
pimelodus grosskopfii,1
sternopygus aequilabiatus,1
tetragona sp,1
hamadryas februa ferentina,1
trigona sp,1
mestra hersilia semifulva,1
espadarana prosoblepon,1
pristimantis peraticus,1
atractus obtusirostris,1
rhinella granulosa,1
tetragonoderus,1
frieseomelitta nigra,1
apenes,1
selenophorus,1
oxytrigona daemoniaca,1
cardinalis cardinalis,1
hemibrycon sp.,1
micronycteris,1
calosoma alternans,1
hyloxalus vergeli,1
astyanax fasciatus,1
hyloxalus sp.,1
gubernatrix cristata,1
creagrutus sp.,1
poecilia reticulata,1
tachycineta albiventer,1
streptopelia decaocto,1
parodon magdalenensis,1
serinus canaria,1
molossops temminckii,1
phyllostomus hastatus,1
ara chloropterus,1
cebus albifrons,1
myiozetetes similis,1
xenopipo atronitens,1
tetracha affinis,1
chaetostoma milesi,1
poecilia caucana,1
pimelodella chagresi,1
phaetornis anthophilus,1
buteogallus meridionalis,1
neacomys magdalenge,1
rhinella margaritifera,1
rulyrana susatamai,1
bolitoglossa ramosi,1
dendrophidion truncatus,1
apis mellifera,1
pristimantis aff. uranobates,1
sachatamia punctulata,1
pristimantis sp1,1
anolis cf. tolimensis,1
craugastor metriosistus,1
lithobates vaillanti,1
pristimantis piceus,1
riama sp.,1
